channel,process,systematic,bin,sum_w,sum_ww
signalregion,ttbar,nominal,1,816.9706060900476,15.570768020882767
signalregion,ttbar,nominal,2,2574.5104274033274,49.06798890145443
signalregion,ttbar,nominal,3,5307.326182094277,101.15314330346764
signalregion,ttbar,nominal,4,8335.539753740544,158.86832998252885
signalregion,ttbar,nominal,5,10097.825304224858,192.45600044287886
signalregion,ttbar,nominal,6,9387.909962205913,178.92561511121338
signalregion,ttbar,nominal,7,7915.647547447068,150.8655400544274
signalregion,ttbar,nominal,8,6489.37486959468,123.68199044344546
signalregion,ttbar,nominal,9,5244.0879114537365,99.94787540907154
signalregion,ttbar,nominal,10,4205.306879289364,80.14958847469212
signalregion,ttbar,nominal,11,3342.0606489933984,63.69684623813915
signalregion,ttbar,nominal,12,2684.1386771695693,51.157410519467206
signalregion,ttbar,nominal,13,2156.695668819261,41.1047933677138
signalregion,ttbar,nominal,14,1732.0196150481552,33.01082735718517
signalregion,ttbar,nominal,15,1396.1973339492017,26.61033902106119
signalregion,ttbar,nominal,16,1142.0244655760096,21.766019358714463
signalregion,ttbar,nominal,17,927.8948782805078,17.684890728955498
signalregion,ttbar,nominal,18,771.705117008889,14.70804612540635
signalregion,ttbar,nominal,19,643.2464237848852,12.259732198875385
signalregion,ttbar,nominal,20,0.0,0.0
signalregion,wjets,nominal,0,19.058946407349758,13.453460672527049
signalregion,wjets,nominal,1,72.70635110951946,51.322461084084665
signalregion,wjets,nominal,2,175.76583909000334,124.07080397997167
signalregion,wjets,nominal,3,263.29581518301706,185.85706780935516
signalregion,wjets,nominal,4,338.11982700446424,238.67435785705393
signalregion,wjets,nominal,5,365.649416259525,258.10713438403747
signalregion,wjets,nominal,6,381.1789281469952,269.069213450541
signalregion,wjets,nominal,7,374.12005910723605,264.0864502384939
signalregion,wjets,nominal,8,312.00201155735533,220.23813397247983
signalregion,wjets,nominal,9,300.0019341897647,211.76743651199985
signalregion,wjets,nominal,10,264.00170208699296,186.35534413055984
signalregion,wjets,nominal,11,235.7662259279563,166.42429128237163
signalregion,wjets,nominal,12,210.35429738482327,148.48634371900224
signalregion,wjets,nominal,13,185.64825574566618,131.04667247683756
signalregion,wjets,nominal,14,165.1775355303646,116.59665916190109
signalregion,wjets,nominal,15,114.35367844409856,80.72076403516229
signalregion,wjets,nominal,16,108.70658321229122,76.73455346552464
signalregion,wjets,nominal,17,109.41247011626714,77.23282978672935
signalregion,wjets,nominal,18,83.2946546691582,58.79660590215525
signalregion,wjets,nominal,19,63.52982135783253,44.84486890842349
signalregion,wjets,nominal,20,0.0,0.0
