channel,process,systematic,bin,sum_w,sum_ww
controlregion,single_atop_t_chan,nominal,17,7.4443538791074895,0.2601803036496842
controlregion,single_atop_t_chan,nominal,18,6.920103605930906,0.241857747054636
controlregion,single_atop_t_chan,nominal,19,5.801703023154194,0.2027696263185332
controlregion,single_atop_t_chan,nominal,20,0.0,0.0
controlregion,single_top_tW,jesDown,0,7.077500335523091,0.5444675108622767
controlregion,single_top_tW,jesDown,1,49.3117142942424,3.7935182006817323
controlregion,single_top_tW,jesDown,2,133.62628350873487,10.279783330084507
controlregion,single_top_tW,jesDown,3,253.78993050968126,19.523894764507073
controlregion,single_top_tW,jesDown,4,335.48890177408913,25.80894363989553
controlregion,single_top_tW,jesDown,5,360.79865840873146,27.756006803739975
controlregion,single_top_tW,jesDown,6,314.33333011899293,24.181459232426768
controlregion,single_top_tW,jesDown,7,260.0212079790005,20.003262899070602
controlregion,single_top_tW,jesDown,8,222.47968446013888,17.11521784145331
controlregion,single_top_tW,jesDown,9,180.5531879073119,13.889839652106124
controlregion,single_top_tW,jesDown,10,152.70476267405797,11.747478359365427
controlregion,single_top_tW,jesDown,11,129.0874517718233,9.930613948118483
controlregion,single_top_tW,jesDown,12,102.93147227097712,7.918451407975285
controlregion,single_top_tW,jesDown,13,80.62196034378476,6.2021951237355
controlregion,single_top_tW,jesDown,14,66.23617161831936,5.095505726656742
controlregion,single_top_tW,jesDown,15,59.15867128279627,4.551038215794465
controlregion,single_top_tW,jesDown,16,46.23454023531932,3.556793195959003
controlregion,single_top_tW,jesDown,17,43.003507473450085,3.308231941000138
controlregion,single_top_tW,jesDown,18,32.46418632163852,2.497448799824791
controlregion,single_top_tW,jesDown,19,26.386767555265436,2.029916915497401
controlregion,single_top_tW,jesDown,20,0.0,0.0
controlregion,single_top_tW,jesUp,0,5.692772009007704,0.43794125873704864
controlregion,single_top_tW,jesUp,1,38.31081703359238,2.947226308797976
controlregion,single_top_tW,jesUp,2,112.93228796247713,8.687807673324155
controlregion,single_top_tW,jesUp,3,222.7874018660312,17.13889034192558
controlregion,single_top_tW,jesUp,4,316.64121066318523,24.359002985968814
controlregion,single_top_tW,jesUp,5,356.49061472623913,27.424591797128155
controlregion,single_top_tW,jesUp,6,317.17971612349675,24.400429861795292
controlregion,single_top_tW,jesUp,7,266.4063441512659,20.494467283870264
controlregion,single_top_tW,jesUp,8,227.24930425146965,17.482141598773538
controlregion,single_top_tW,jesUp,9,194.01582441510038,14.925511547768064
controlregion,single_top_tW,jesUp,10,160.16690976694647,12.321536495818044
controlregion,single_top_tW,jesUp,11,135.08794118672333,10.392227707327804
controlregion,single_top_tW,jesUp,12,111.0090541756502,8.53985454537245
controlregion,single_top_tW,jesUp,13,85.00693337775016,6.539528255465389
controlregion,single_top_tW,jesUp,14,71.85201427585399,5.527528860275722
controlregion,single_top_tW,jesUp,15,61.0819050696232,4.698991343746171
controlregion,single_top_tW,jesUp,16,52.23502965021933,4.018406955168325
controlregion,single_top_tW,jesUp,17,42.15728460724623,3.2431325647013876
controlregion,single_top_tW,jesUp,18,38.08002897917315,2.9294719334437715
controlregion,single_top_tW,jesUp,19,27.694566530307746,2.130525042504561
controlregion,single_top_tW,jesUp,20,0.0,0.0
controlregion,single_top_tW,nominal,0,6.30820682079232,0.48528625968159445
controlregion,single_top_tW,nominal,1,43.15736617639624,3.3200681912362744
controlregion,single_top_tW,nominal,2,123.85625587165408,9.528181440089842
controlregion,single_top_tW,nominal,3,237.78862540328123,18.292924739948884
controlregion,single_top_tW,nominal,4,326.10352089437373,25.086932375491205
controlregion,single_top_tW,nominal,5,359.9524355425276,27.690907427441225
controlregion,single_top_tW,nominal,6,313.9486833616275,24.151868606836427
controlregion,single_top_tW,nominal,7,265.7909093394813,20.44712228292572
controlregion,single_top_tW,nominal,8,221.7873202968812,17.061954715390694
