channel,process,systematic,bin,sum_w,sum_ww
controlregion,single_top_tW,jesDown,0,81.31438690734622,5.882588539250532
controlregion,single_top_tW,jesDown,1,51.43641378213805,3.7211036044547408
controlregion,single_top_tW,jesDown,2,31.975942182426184,2.313259906004213
controlregion,single_top_tW,jesDown,3,20.7626592903989,1.502048852993686
controlregion,single_top_tW,jesDown,4,12.370783061526872,0.894948968160001
controlregion,single_top_tW,jesDown,5,8.030157425903408,0.5809317863494743
controlregion,single_top_tW,jesDown,6,6.2939071716540225,0.45532491362526367
controlregion,single_top_tW,jesDown,7,4.630000677998361,0.3349516605978951
controlregion,single_top_tW,jesDown,8,2.604375381374078,0.188410309086316
controlregion,single_top_tW,jesDown,9,1.3745314512807636,0.09943877424000011
controlregion,single_top_tW,jesDown,10,1.3745314512807636,0.09943877424000011
controlregion,single_top_tW,jesDown,11,0.8681251271246928,0.06280343636210534
controlregion,single_top_tW,jesDown,12,0.8681251271246928,0.06280343636210534
controlregion,single_top_tW,jesDown,13,0.4340625635623464,0.03140171818105267
controlregion,single_top_tW,jesDown,14,0.2893750423748976,0.020934478787368444
controlregion,single_top_tW,jesDown,15,0.36171880296862197,0.026168098484210554
controlregion,single_top_tW,jesDown,16,0.36171880296862197,0.026168098484210554
controlregion,single_top_tW,jesDown,17,0.2893750423748976,0.020934478787368444
controlregion,single_top_tW,jesDown,18,0.0,0.0
controlregion,single_top_tW,jesDown,19,0.0,0.0
controlregion,single_top_tW,jesUp,0,89.19985681206218,6.453053086206323
controlregion,single_top_tW,jesUp,1,56.28344574191758,4.071756124143162
controlregion,single_top_tW,jesUp,2,34.290942521425364,2.480735736303161
controlregion,single_top_tW,jesUp,3,22.788284587023185,1.648590204505265
controlregion,single_top_tW,jesUp,4,12.877189385682943,0.9315843060378958
controlregion,single_top_tW,jesUp,5,9.260001355996723,0.6699033211957902
controlregion,single_top_tW,jesUp,6,6.58328221402892,0.4762593924126321
controlregion,single_top_tW,jesUp,7,4.77468819918581,0.3454188999915793
controlregion,single_top_tW,jesUp,8,2.749062902561527,0.19887754848000022
controlregion,single_top_tW,jesUp,9,1.9532815360305587,0.141307731814737
controlregion,single_top_tW,jesUp,10,1.1575001694995903,0.08373791514947378
controlregion,single_top_tW,jesUp,11,0.8681251271246928,0.06280343636210534
controlregion,single_top_tW,jesUp,12,1.0128126483121416,0.07327067575578955
controlregion,single_top_tW,jesUp,13,0.5787500847497952,0.04186895757473689
controlregion,single_top_tW,jesUp,14,0.1446875211874488,0.010467239393684222
controlregion,single_top_tW,jesUp,15,0.2893750423748976,0.020934478787368444
controlregion,single_top_tW,jesUp,16,0.36171880296862197,0.026168098484210554
controlregion,single_top_tW,jesUp,17,0.4340625635623464,0.03140171818105267
controlregion,single_top_tW,jesUp,18,0.0723437605937244,0.005233619696842111
controlregion,single_top_tW,jesUp,19,0.0,0.0
controlregion,single_top_tW,nominal,0,86.01673134593831,6.22277381954527
controlregion,single_top_tW,nominal,1,53.75141412113722,3.8885794347536886
controlregion,single_top_tW,nominal,2,33.2057861125195,2.402231440850529
controlregion,single_top_tW,nominal,3,21.196721853961247,1.5334505711747386
controlregion,single_top_tW,nominal,4,12.153751779745699,0.8792481090694747
controlregion,single_top_tW,nominal,5,9.260001355996723,0.6699033211957902
controlregion,single_top_tW,nominal,6,6.4385946928414715,0.4657921530189479
controlregion,single_top_tW,nominal,7,4.919375720373259,0.35588613938526353
controlregion,single_top_tW,nominal,8,2.387344099592905,0.17270944999578966
controlregion,single_top_tW,nominal,9,1.8809377754368344,0.13607411211789489
controlregion,single_top_tW,nominal,10,1.2298439300933148,0.08897153484631588
controlregion,single_top_tW,nominal,11,0.9404688877184172,0.06803705605894744
controlregion,single_top_tW,nominal,12,0.7957813665309683,0.05756981666526322
